Column1,Vendor_Name,Order Year,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Status_Rate,Total Spend,Savings,Defective_Rate,Comp_rate,Negot_Rate
Vendor_01,Alpha_Inc,2023,Office Supplies,Cancelled,1176,20.13,17.81,24,Yes,9%,20944.56,2728.32,2%,94%,12%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,1509,39.32,37.34,235,Yes,70%,56346.06,2987.82,16%,61%,5%
Vendor_05,Gamma_Co,2022,MRO,Delivered,910,95.51,92.26,41,Yes,72%,83956.6,2957.5,5%,86%,3%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,1344,99.85,95.52,112,Yes,71%,128378.88,5819.52,8%,24%,4%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,1180,64.07,60.53,171,No,70%,71425.4,4177.2,14%,39%,6%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1145,69.21,63.57,39,Yes,72%,72787.65,6457.8,3%,98%,8%
Vendor_05,Gamma_Co,2022,MRO,Delivered,1774,51.37,47.82,96,No,72%,84832.68,6297.7,5%,14%,7%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,1094,36.93,32.78,22,Yes,76%,35861.32,4540.1,2%,94%,11%
Vendor_05,Gamma_Co,2023,Raw Materials,Partially Delivered,1688,43.93,39.89,89,Yes,13%,67334.32,6819.52,5%,86%,9%
Vendor_05,Gamma_Co,2023,Raw Materials,Pending,171,76.87,70.2,8,Yes,11%,12004.2,1140.57,5%,86%,9%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,5000,78.49,73.68,18,Yes,72%,368400,24050,0%,98%,6%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,5000,88.96,86.58,115,Yes,71%,432900,11900,2%,76%,3%
Vendor_02,Beta_Supplies,2023,Electronics,Pending,5000,86.74,74.86,51,Yes,12%,374300,59400,1%,76%,14%
Vendor_02,Beta_Supplies,2022,MRO,Delivered,5000,18.3,16.88,105,Yes,71%,84400,7100,2%,76%,8%
Vendor_03,Delta_Logistics,2022,Electronics,Pending,5000,54.5,48.45,22,Yes,10%,242250,30250,0%,61%,11%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,5000,15.41,15.12,105,Yes,71%,75600,1450,2%,76%,2%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,1173,61.54,55.49,172,No,70%,65089.77,7096.65,15%,39%,10%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,921,51.48,50.61,33,Yes,72%,46611.81,801.27,4%,98%,2%
Vendor_05,Gamma_Co,2023,Raw Materials,Partially Delivered,1737,97.53,87.37,79,Yes,13%,151761.69,17647.92,5%,86%,10%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,180,45.74,38.89,155,No,70%,7000.2,1233,86%,39%,15%
Vendor_04,Epsilon_Group,2022,Electronics,Cancelled,1735,20.54,19.69,49,Yes,8%,34162.15,1474.75,3%,98%,4%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1382,24.93,23.75,155,Yes,70%,32822.5,1630.76,11%,61%,5%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,819,80.89,77.03,29,Yes,72%,63087.57,3161.34,4%,98%,5%
Vendor_02,Beta_Supplies,2023,Office Supplies,Partially Delivered,393,72.53,66.31,42,No,8%,26059.83,2444.46,11%,24%,9%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,1565,21.3,20.09,161,Yes,71%,31440.85,1893.65,10%,76%,6%
Vendor_04,Epsilon_Group,2023,Packaging,Delivered,1487,19.15,17.24,33,Yes,72%,25635.88,2840.17,2%,98%,10%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,855,78.2,67.16,17,Yes,76%,57421.8,9439.2,2%,94%,14%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,435,17.13,15.84,8,Yes,72%,6890.4,561.15,2%,98%,8%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,1265,90.26,79.47,187,Yes,70%,100529.55,13649.35,15%,61%,12%
Vendor_04,Epsilon_Group,2023,MRO,Delivered,1005,80.55,73.31,30,Yes,72%,73676.55,7276.2,3%,98%,9%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,326,18.1,15.92,55,No,72%,5189.92,710.68,17%,14%,12%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,1234,17.64,15.66,26,Yes,76%,19324.44,2443.32,2%,94%,11%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,509,101.27,97.82,19,Yes,72%,49790.38,1756.05,4%,98%,3%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1387,48.71,43.71,27,Yes,76%,60625.77,6935,2%,94%,10%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,71,46.39,43.18,0,Yes,76%,3065.78,227.91,0%,94%,7%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,302,87.73,81.52,9,Yes,72%,24619.04,1875.42,3%,98%,7%
Vendor_04,Epsilon_Group,2022,Office Supplies,Pending,797,99.54,91.37,18,Yes,11%,72821.89,6511.49,2%,98%,8%
Vendor_02,Beta_Supplies,2022,Office Supplies,Pending,906,101.21,90.9,94,Yes,12%,82355.4,9340.86,10%,76%,10%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,1634,80.53,76.15,50,Yes,72%,124429.1,7156.92,3%,98%,5%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,524,46.28,39.65,14,Yes,72%,20776.6,3474.12,3%,98%,14%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,1132,17.78,15.36,96,Yes,71%,17387.52,2739.44,8%,76%,14%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,560,81.14,77.87,34,No,71%,43607.2,1831.2,6%,24%,4%
Vendor_05,Gamma_Co,2023,Electronics,Delivered,1755,63.87,58.4,85,Yes,72%,102492,9599.85,5%,86%,9%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1549,48.9,42.42,48,Yes,72%,65708.58,10037.52,3%,98%,13%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,749,97.07,94.16,123,Yes,70%,70525.84,2179.59,16%,61%,3%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,1025,21.11,19.25,15,Yes,76%,19731.25,1906.5,1%,94%,9%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,1856,59.77,50.81,191,Yes,71%,94303.36,16629.76,10%,76%,15%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,239,11.46,11.28,4,Yes,72%,2695.92,43.02,2%,98%,2%
