Vendor_ID,Vendor_Name,Order Year,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Status_rate, Total Spend , Savings ,Defective_Rate,Comp_rate
Vendor_01,Alpha_Inc,2023,Office Supplies,Cancelled,1176,20.13,17.81,24,Yes,9.22," ? 20,944.56 "," ? 2,728.32 ",2.04,94%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,1509,39.32,37.34,235,Yes,70.18," ? 56,346.06 "," ? 2,987.82 ",15.57,61%
Vendor_05,Gamma_Co,2022,MRO,Delivered,910,95.51,92.26,41,Yes,72.03," ? 83,956.60 "," ? 2,957.50 ",4.51,86%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,1344,99.85,95.52,112,Yes,70.51," ? 1,28,378.88 "," ? 5,819.52 ",8.33,24%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,1180,64.07,60.53,171,No,70.18," ? 71,425.40 "," ? 4,177.20 ",14.49,39%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1145,69.21,63.57,39,Yes,72.29," ? 72,787.65 "," ? 6,457.80 ",3.41,98%
Vendor_05,Gamma_Co,2022,MRO,Delivered,1774,51.37,47.82,96,No,72.03," ? 84,832.68 "," ? 6,297.70 ",5.41,14%
Vendor_01,Alpha_Inc,2022,MRO,Delivered,1094,36.93,32.78,22,Yes,75.89," ? 35,861.32 "," ? 4,540.10 ",2.01,94%
Vendor_05,Gamma_Co,2023,Raw Materials,Partially Delivered,1688,43.93,39.89,89,Yes,12.59," ? 67,334.32 "," ? 6,819.52 ",5.27,86%
Vendor_05,Gamma_Co,2023,Raw Materials,Pending,171,76.87,70.2,8,Yes,11.19," ? 12,004.20 "," ? 1,140.57 ",4.68,86%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,5000,78.49,73.68,18,Yes,72.29," ? 3,68,400.00 "," ? 24,050.00 ",0.36,98%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,5000,88.96,86.58,115,Yes,70.51," ? 4,32,900.00 "," ? 11,900.00 ",2.30,76%
Vendor_02,Beta_Supplies,2023,Electronics,Pending,5000,86.74,74.86,51,Yes,12.18," ? 3,74,300.00 "," ? 59,400.00 ",1.02,76%
Vendor_02,Beta_Supplies,2022,MRO,Delivered,5000,18.3,16.88,105,Yes,70.51," ? 84,400.00 "," ? 7,100.00 ",2.10,76%
Vendor_03,Delta_Logistics,2022,Electronics,Pending,5000,54.5,48.45,22,Yes,9.94," ? 2,42,250.00 "," ? 30,250.00 ",0.44,61%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,5000,15.41,15.12,105,Yes,70.51," ? 75,600.00 "," ? 1,450.00 ",2.10,76%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,1173,61.54,55.49,172,No,70.18," ? 65,089.77 "," ? 7,096.65 ",14.66,39%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,921,51.48,50.61,33,Yes,72.29," ? 46,611.81 ", ? 801.27 ,3.58,98%
Vendor_05,Gamma_Co,2023,Raw Materials,Partially Delivered,1737,97.53,87.37,79,Yes,12.59," ? 1,51,761.69 "," ? 17,647.92 ",4.55,86%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,180,45.74,38.89,155,No,70.18," ? 7,000.20 "," ? 1,233.00 ",86.11,39%
Vendor_04,Epsilon_Group,2022,Electronics,Cancelled,1735,20.54,19.69,49,Yes,8.43," ? 34,162.15 "," ? 1,474.75 ",2.82,98%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1382,24.93,23.75,155,Yes,70.18," ? 32,822.50 "," ? 1,630.76 ",11.22,61%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,819,80.89,77.03,29,Yes,72.29," ? 63,087.57 "," ? 3,161.34 ",3.54,98%
Vendor_02,Beta_Supplies,2023,Office Supplies,Partially Delivered,393,72.53,66.31,42,No,8.33," ? 26,059.83 "," ? 2,444.46 ",10.69,24%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,1565,21.3,20.09,161,Yes,70.51," ? 31,440.85 "," ? 1,893.65 ",10.29,76%
Vendor_04,Epsilon_Group,2023,Packaging,Delivered,1487,19.15,17.24,33,Yes,72.29," ? 25,635.88 "," ? 2,840.17 ",2.22,98%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,855,78.2,67.16,17,Yes,75.89," ? 57,421.80 "," ? 9,439.20 ",1.99,94%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,435,17.13,15.84,8,Yes,72.29," ? 6,890.40 ", ? 561.15 ,1.84,98%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,1265,90.26,79.47,187,Yes,70.18," ? 1,00,529.55 "," ? 13,649.35 ",14.78,61%
Vendor_04,Epsilon_Group,2023,MRO,Delivered,1005,80.55,73.31,30,Yes,72.29," ? 73,676.55 "," ? 7,276.20 ",2.99,98%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,326,18.1,15.92,55,No,72.03," ? 5,189.92 ", ? 710.68 ,16.87,14%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,1234,17.64,15.66,26,Yes,75.89," ? 19,324.44 "," ? 2,443.32 ",2.11,94%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,509,101.27,97.82,19,Yes,72.29," ? 49,790.38 "," ? 1,756.05 ",3.73,98%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1387,48.71,43.71,27,Yes,75.89," ? 60,625.77 "," ? 6,935.00 ",1.95,94%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,71,46.39,43.18,0,Yes,75.89," ? 3,065.78 ", ? 227.91 ,0.00,94%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,302,87.73,81.52,9,Yes,72.29," ? 24,619.04 "," ? 1,875.42 ",2.98,98%
Vendor_04,Epsilon_Group,2022,Office Supplies,Pending,797,99.54,91.37,18,Yes,10.84," ? 72,821.89 "," ? 6,511.49 ",2.26,98%
Vendor_02,Beta_Supplies,2022,Office Supplies,Pending,906,101.21,90.9,94,Yes,12.18," ? 82,355.40 "," ? 9,340.86 ",10.38,76%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,1634,80.53,76.15,50,Yes,72.29," ? 1,24,429.10 "," ? 7,156.92 ",3.06,98%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,524,46.28,39.65,14,Yes,72.29," ? 20,776.60 "," ? 3,474.12 ",2.67,98%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,1132,17.78,15.36,96,Yes,70.51," ? 17,387.52 "," ? 2,739.44 ",8.48,76%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,560,81.14,77.87,34,No,70.51," ? 43,607.20 "," ? 1,831.20 ",6.07,24%
Vendor_05,Gamma_Co,2023,Electronics,Delivered,1755,63.87,58.4,85,Yes,72.03," ? 1,02,492.00 "," ? 9,599.85 ",4.84,86%
