PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance
PO-00001,Alpha_Inc,17-10-2023,25-10-2023,Office Supplies,Cancelled,1176,20.13,17.81,,Yes
PO-00002,Delta_Logistics,25-04-2022,05-05-2022,Office Supplies,Delivered,1509,39.32,37.34,235,Yes
PO-00003,Gamma_Co,26-01-2022,15-02-2022,MRO,Delivered,910,95.51,92.26,41,Yes
PO-00004,Beta_Supplies,09-10-2022,28-10-2022,Packaging,Delivered,1344,99.85,95.52,112,Yes
PO-00005,Delta_Logistics,08-09-2022,20-09-2022,Raw Materials,Delivered,1180,64.07,60.53,171,No
PO-00006,Epsilon_Group,17-08-2022,29-08-2022,MRO,Delivered,1145,69.21,63.57,39,Yes
PO-00007,Gamma_Co,23-05-2022,03-06-2022,MRO,Delivered,1774,51.37,47.82,96,No
PO-00008,Alpha_Inc,15-04-2022,29-04-2022,MRO,Delivered,1094,36.93,32.78,22,Yes
PO-00009,Gamma_Co,24-11-2023,28-11-2023,Raw Materials,Partially Delivered,1688,43.93,39.89,89,Yes
PO-00010,Gamma_Co,13-07-2023,25-07-2023,Raw Materials,Pending,171,76.87,70.2,8,Yes
PO-00011,Epsilon_Group,31-03-2022,15-04-2022,Raw Materials,Delivered,5000,78.49,73.68,18,Yes
PO-00012,Beta_Supplies,28-08-2023,11-09-2023,Raw Materials,Delivered,5000,88.96,86.58,115,Yes
PO-00013,Beta_Supplies,09-03-2023,26-03-2023,Electronics,Pending,5000,86.74,74.86,51,Yes
PO-00014,Beta_Supplies,02-02-2022,,MRO,Delivered,5000,18.3,16.88,,Yes
PO-00015,Delta_Logistics,31-01-2022,18-02-2022,Electronics,Pending,5000,54.5,48.45,22,Yes
PO-00016,Beta_Supplies,06-04-2022,21-04-2022,Packaging,Delivered,5000,15.41,15.12,,Yes
PO-00017,Delta_Logistics,12-08-2022,31-08-2022,MRO,Delivered,1173,61.54,55.49,172,No
PO-00018,Epsilon_Group,27-08-2022,04-09-2022,Raw Materials,Delivered,921,51.48,50.61,,Yes
PO-00019,Gamma_Co,02-06-2023,05-06-2023,Raw Materials,Partially Delivered,1737,97.53,87.37,79,Yes
PO-00020,Delta_Logistics,09-09-2023,24-09-2023,Raw Materials,Delivered,180,45.74,38.89,,No
PO-00021,Epsilon_Group,28-01-2022,12-02-2022,Electronics,Cancelled,1735,20.54,19.69,49,Yes
PO-00022,Delta_Logistics,29-07-2023,11-08-2023,Raw Materials,Delivered,1382,24.93,23.75,,Yes
PO-00023,Epsilon_Group,23-07-2022,08-08-2022,MRO,Delivered,819,80.89,77.03,29,Yes
PO-00024,Beta_Supplies,28-10-2023,03-11-2023,Office Supplies,Partially Delivered,393,72.53,66.31,42,No
PO-00025,Beta_Supplies,20-12-2023,01-01-2024,MRO,Delivered,1565,21.3,20.09,161,Yes
PO-00026,Epsilon_Group,13-07-2023,24-07-2023,Packaging,Delivered,1487,19.15,17.24,,Yes
PO-00027,Alpha_Inc,06-03-2023,26-03-2023,MRO,Delivered,855,78.2,67.16,17,Yes
PO-00028,Epsilon_Group,14-08-2022,23-08-2022,Raw Materials,Delivered,435,17.13,15.84,8,Yes
PO-00029,Delta_Logistics,05-04-2023,22-04-2023,MRO,Delivered,1265,90.26,79.47,187,Yes
PO-00030,Epsilon_Group,27-08-2023,,MRO,Delivered,1005,80.55,73.31,30,Yes
PO-00031,Gamma_Co,12-10-2022,26-10-2022,Electronics,Delivered,326,18.1,15.92,,No
PO-00032,Alpha_Inc,07-01-2022,15-01-2022,Office Supplies,Delivered,1234,17.64,15.66,26,Yes
PO-00033,Epsilon_Group,13-06-2022,29-06-2022,MRO,Delivered,509,101.27,97.82,19,Yes
PO-00034,Alpha_Inc,16-12-2023,17-12-2023,Packaging,Delivered,1387,48.71,43.71,27,Yes
PO-00035,Alpha_Inc,09-03-2023,17-03-2023,MRO,Delivered,71,46.39,43.18,0,Yes
PO-00036,Epsilon_Group,15-12-2022,23-12-2022,Office Supplies,Delivered,302,87.73,81.52,9,Yes
PO-00037,Epsilon_Group,12-10-2022,31-10-2022,Office Supplies,Pending,797,99.54,91.37,18,Yes
PO-00038,Beta_Supplies,09-06-2022,27-06-2022,Office Supplies,Pending,906,101.21,90.9,94,Yes
PO-00039,Epsilon_Group,09-08-2022,23-08-2022,Office Supplies,Delivered,1634,80.53,76.15,50,Yes
PO-00040,Epsilon_Group,11-12-2022,,Office Supplies,Delivered,524,46.28,39.65,14,Yes
PO-00041,Beta_Supplies,15-04-2022,27-04-2022,Electronics,Delivered,1132,17.78,15.36,96,Yes
PO-00042,Beta_Supplies,05-04-2022,14-04-2022,Office Supplies,Delivered,560,81.14,77.87,34,No
PO-00043,Gamma_Co,25-01-2023,02-02-2023,Electronics,Delivered,1755,63.87,58.4,85,Yes
PO-00044,Epsilon_Group,10-04-2022,17-04-2022,MRO,Delivered,1549,48.9,42.42,48,Yes
PO-00045,Delta_Logistics,03-01-2023,21-01-2023,MRO,Delivered,749,97.07,94.16,123,Yes
PO-00046,Alpha_Inc,19-12-2022,,Electronics,Delivered,1025,21.11,19.25,15,Yes
PO-00047,Beta_Supplies,11-09-2023,18-09-2023,Raw Materials,Delivered,1856,59.77,50.81,191,Yes
PO-00048,Epsilon_Group,28-09-2022,14-10-2022,Office Supplies,Delivered,239,11.46,11.28,4,Yes
PO-00049,Delta_Logistics,14-02-2022,05-03-2022,Office Supplies,Pending,1007,52.44,46.06,167,Yes
PO-00050,Alpha_Inc,16-04-2023,,MRO,Pending,736,16.2,15.33,18,Yes
PO-00051,Epsilon_Group,04-07-2023,14-07-2023,Electronics,Delivered,1007,22.56,19.59,,Yes
PO-00052,Delta_Logistics,08-05-2022,,Office Supplies,Delivered,612,20.99,19.75,102,Yes
PO-00053,Alpha_Inc,23-01-2023,02-02-2023,MRO,Pending,1949,72.53,63.26,48,No
PO-00054,Delta_Logistics,22-03-2022,28-03-2022,Office Supplies,Cancelled,1640,77.92,76.41,262,No
PO-00055,Beta_Supplies,20-07-2023,07-08-2023,Electronics,Delivered,1317,68.13,60.52,136,Yes
PO-00056,Epsilon_Group,28-10-2022,30-10-2022,Raw Materials,Delivered,881,100.94,95.05,30,Yes
PO-00057,Delta_Logistics,06-10-2023,,Packaging,Delivered,1578,48.33,42.77,206,Yes
PO-00058,Delta_Logistics,26-09-2023,01-10-2023,MRO,Delivered,1204,39.29,35.44,,Yes
PO-00059,Epsilon_Group,06-01-2023,22-01-2023,MRO,Pending,1558,93.46,91.27,39,Yes
PO-00060,Alpha_Inc,15-08-2023,16-08-2023,Packaging,Delivered,1892,32.99,28.81,35,Yes
PO-00061,Epsilon_Group,16-07-2022,01-08-2022,Packaging,Delivered,696,99.59,90.18,25,Yes
PO-00062,Delta_Logistics,23-12-2023,03-01-2024,MRO,Partially Delivered,70,12.37,11.04,10,Yes
PO-00063,Gamma_Co,13-03-2022,15-03-2022,Raw Materials,Delivered,890,98.26,93.14,49,Yes
PO-00064,Alpha_Inc,16-02-2022,04-03-2022,MRO,Delivered,216,13.95,12.31,5,Yes
PO-00065,Delta_Logistics,09-11-2023,12-11-2023,Packaging,Delivered,1347,100.13,94.3,200,Yes
PO-00066,Gamma_Co,22-08-2022,25-08-2022,Office Supplies,Partially Delivered,437,59.51,56.45,25,No
PO-00067,Alpha_Inc,24-10-2022,26-10-2022,Electronics,Delivered,650,103.84,88.28,12,Yes
PO-00068,Beta_Supplies,23-03-2022,11-04-2022,Office Supplies,Delivered,365,16.81,15.41,38,Yes
PO-00069,Epsilon_Group,27-08-2022,,Raw Materials,Cancelled,63,61.94,53.8,,Yes
PO-00070,Alpha_Inc,14-04-2022,22-04-2022,MRO,Delivered,291,98.7,87.02,9,Yes
PO-00071,Alpha_Inc,25-01-2023,08-02-2023,MRO,Cancelled,826,60.5,57.18,18,Yes
PO-00072,Delta_Logistics,12-10-2022,01-11-2022,Electronics,Pending,1419,69.64,59.28,194,Yes
PO-00073,Gamma_Co,10-04-2023,27-04-2023,Office Supplies,Delivered,614,78.06,73.95,40,Yes
PO-00074,Alpha_Inc,13-10-2023,28-10-2023,Electronics,Delivered,947,56.25,54.25,19,Yes
PO-00075,Epsilon_Group,09-01-2023,28-01-2023,Raw Materials,Delivered,1413,70.47,69.65,,Yes
PO-00076,Alpha_Inc,16-06-2022,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes
PO-00077,Alpha_Inc,15-01-2023,04-02-2023,Office Supplies,Delivered,1440,96.57,83.87,36,Yes
PO-00078,Delta_Logistics,30-12-2022,03-01-2023,Raw Materials,Delivered,1005,14.87,12.79,,No
PO-00079,Alpha_Inc,03-08-2022,,MRO,Delivered,1528,36.52,33,31,No
PO-00080,Gamma_Co,18-11-2023,25-11-2023,MRO,Delivered,1501,106.05,100.99,77,No
PO-00081,Delta_Logistics,01-10-2022,04-10-2022,Packaging,Delivered,558,94.18,81.4,,No
PO-00082,Beta_Supplies,20-12-2023,26-12-2023,MRO,Delivered,825,56.88,50.84,,Yes
PO-00083,Beta_Supplies,01-12-2023,07-12-2023,Electronics,Cancelled,84,73.38,71.42,9,Yes
PO-00084,Delta_Logistics,26-10-2023,10-11-2023,Raw Materials,Delivered,255,38.64,33.59,27,No
PO-00085,Gamma_Co,15-03-2022,31-03-2022,MRO,Delivered,1154,27.2,26.07,58,Yes
PO-00086,Delta_Logistics,16-09-2023,24-09-2023,Office Supplies,Delivered,1635,56.91,54.37,262,No
PO-00087,Delta_Logistics,13-10-2023,23-10-2023,Raw Materials,Delivered,1945,46.19,40.12,278,No
PO-00088,Delta_Logistics,25-06-2022,10-07-2022,MRO,Partially Delivered,1461,64.09,63.39,228,No
PO-00089,Delta_Logistics,01-07-2023,09-07-2023,Electronics,Delivered,1075,18.53,16.12,147,Yes
PO-00090,Alpha_Inc,08-09-2022,,Packaging,Delivered,1071,101.6,93.91,25,Yes
PO-00091,Epsilon_Group,17-06-2022,06-07-2022,Packaging,Pending,1463,101.23,86.17,43,Yes
PO-00092,Beta_Supplies,19-04-2023,26-04-2023,Raw Materials,Delivered,615,78.3,73.68,69,Yes
PO-00093,Gamma_Co,24-01-2023,11-02-2023,Electronics,Delivered,1179,61.74,56.28,,Yes
PO-00094,Alpha_Inc,04-10-2022,09-10-2022,Electronics,Partially Delivered,1845,39.56,37.63,45,Yes
PO-00095,Beta_Supplies,18-10-2023,,Electronics,Cancelled,1895,91.98,86.27,170,Yes
PO-00096,Epsilon_Group,06-12-2023,09-12-2023,MRO,Partially Delivered,1550,79.86,69.57,32,No
PO-00097,Delta_Logistics,25-07-2023,04-08-2023,Packaging,Delivered,752,26.85,24.37,,No
PO-00098,Epsilon_Group,13-08-2022,01-09-2022,Electronics,Delivered,451,95.2,90.07,21,Yes
PO-00099,Beta_Supplies,03-12-2023,,Office Supplies,Delivered,779,93.69,90.92,66,Yes
